year     Ap    
2013.457 8.60522065367 
2013.47 8.62101976868 
2013.483 8.6367992144 
2013.496 8.65255843888 
2013.509 8.66829689043 
2013.522 8.68401401768 
2013.535 8.69970926953 
2013.548 8.71538209519 
2013.561 8.73103194414 
2013.574 8.74665826618 
2013.587 8.76226051139 
2013.6 8.77783813013 
2013.613 8.79339057308 
2013.626 8.80891729118 
2013.639 8.82441773568 
2013.652 8.83989135814 
2013.665 8.85533761037 
2013.678 8.87075594451 
2013.691 8.88614581297 
2013.704 8.90150666847 
2013.717 8.91683796401 
2013.73 8.93213915289 
2013.743 8.94740968869 
2013.756 8.96264902529 
2013.769 8.97785661687 
2013.782 8.99303191789 
2013.795 9.00817438312 
2013.808 9.02328346759 
2013.821 9.03835862666 
2013.834 9.05339931595 
2013.847 9.06840499141 
2013.86 9.08337510924 
2013.873 9.09830912596 
2013.886 9.11320649837 
2013.899 9.12806668358 
2013.912 9.14288913896 
2013.925 9.15767332221 
2013.938 9.1724186913 
2013.951 9.1871247045 
2013.964 9.20179082036 
2013.977 9.21641649773 
2013.99 9.23100119577 
2014.003 9.24554437391 
2014.016 9.26004549187 
2014.029 9.27450400968 
2014.042 9.28891938766 
2014.055 9.30329108641 
2014.068 9.31761856682 
2014.081 9.3319012901 
2014.094 9.34613871772 
2014.107 9.36033031146 
2014.12 9.37447553339 
2014.133 9.38857384587 
2014.146 9.40262471155 
2014.159 9.41662759338 
2014.172 9.43058195461 
2014.185 9.44448725875 
2014.198 9.45834296963 
2014.211 9.47214855137 
2014.224 9.48590346838 
2014.237 9.49960718535 
2014.25 9.51325916729 
2014.263 9.52685887947 
2014.276 9.54040578747 
2014.289 9.55389935717 
2014.302 9.56733905472 
2014.315 9.58072434659 
2014.328 9.59405469951 
2014.341 9.60732958053 
2014.354 9.62054845699 
2014.367 9.6337107965 
2014.38 9.64681606698 
2014.393 9.65986373665 
2014.406 9.672853274 
2014.419 9.68578414783 
2014.432 9.69865582723 
2014.445 9.71146778158 
2014.458 9.72421948055 
2014.471 9.7369103941 
2014.484 9.74953999249 
2014.497 9.76210774626 
2014.51 9.77461312627 
2014.523 9.78705560364 
2014.536 9.79943464981 
2014.549 9.81174973648 
2014.562 9.82400033567 
2014.575 9.83618591969 
2014.588 9.84830596114 
2014.601 9.86035993289 
2014.614 9.87234730813 
2014.627 9.88426756033 
2014.64 9.89612016327 
2014.653 9.907904591 
2014.666 9.91962031786 
2014.679 9.93126681851 
2014.692 9.94284356788 
2014.705 9.95435004119 
2014.718 9.96578571397 
2014.731 9.97715006203 
2014.744 9.98844256147 
2014.757 9.9996626887 
2014.77 10.0108099204 
2014.783 10.0218837336 
2014.796 10.0328836054 
2014.809 10.0438090136 
2014.822 10.054659436 
2014.835 10.0654343506 
2014.848 10.076133236 
2014.861 10.0867555709 
2014.874 10.0973008344 
2014.887 10.1077685056 
2014.9 10.1181580644 
2014.913 10.1284689905 
2014.926 10.1387007641 
2014.939 10.1488528658 
2014.952 10.1589247764 
2014.965 10.1689159769 
2014.978 10.1788259487 
2014.991 10.1886541734 
2015.004 10.198400133 
2015.017 10.2080633098 
2015.03 10.2176431862 
2015.043 10.2271392452 
2015.056 10.2365509698 
2015.069 10.2458778435 
2015.082 10.2551193499 
2015.095 10.2642749731 
2015.108 10.2733441974 
2015.121 10.2823265073 
2015.134 10.2912213878 
2015.147 10.3000283239 
2015.16 10.3087468012 
2015.173 10.3173763055 
2015.186 10.3259163226 
2015.199 10.3343663391 
2015.212 10.3427258416 
2015.225 10.3509943169 
2015.238 10.3591712522 
2015.251 10.3672561352 
2015.264 10.3752484535 
2015.277 10.3831476954 
2015.29 10.3909533491 
2015.303 10.3986649034 
2015.316 10.4062818472 
2015.329 10.4138036697 
2015.342 10.4212298607 
2015.355 10.4285599098 
2015.368 10.4357933073 
2015.381 10.4429295435 
2015.394 10.4499681093 
2015.407 10.4569084956 
2015.42 10.4637501937 
2015.433 10.4704926952 
2015.446 10.4771354921 
2015.459 10.4836780765 
2015.472 10.4901199409 
2015.485 10.4964605781 
2015.498 10.5026994812 
2015.511 10.5088361434 
2015.524 10.5148700585 
2015.537 10.5208007204 
2015.55 10.5266276233 
2015.563 10.5323502618 
2015.576 10.5379681306 
2015.589 10.543480725 
2015.602 10.5488875403 
2015.615 10.5541880721 
2015.628 10.5593818166 
2015.641 10.5644682699 
2015.654 10.5694469287 
2015.667 10.5743172898 
2015.68 10.5790788504 
2015.693 10.5837311079 
2015.706 10.5882735601 
2015.719 10.592705705 
2015.732 10.597027041 
2015.745 10.6012370666 
2015.758 10.6053352808 
2015.771 10.6093211828 
2015.784 10.613194272 
2015.797 10.6169540484 
2015.81 10.6206000119 
2015.823 10.624131663 
2015.836 10.6275485022 
2015.849 10.6308500307 
2015.862 10.6340357496 
2015.875 10.6371051604 
2015.888 10.6400577651 
2015.901 10.6428930657 
2015.914 10.6456105647 
2015.927 10.6482097648 
2015.94 10.6506901689 
2015.953 10.6530512805 
2015.966 10.655292603 
2015.979 10.6574136405 
2015.992 10.659413897 
2016.005 10.661292877 
2016.018 10.6630500853 
2016.031 10.6646850269 
2016.044 10.6661972073 
2016.057 10.667586132 
2016.07 10.6688513069 
2016.083 10.6699922383 
2016.096 10.6710084328 
